Latent_Dim,MSE_Loss,Accuracy,Training_Time_sec
2,0.048428915,40.77,3.844881296157837
4,0.043682892,59.73,4.061913967132568
8,0.038301926,72.02,2.301880121231079
16,0.03271042,79.9,2.63930344581604
32,0.026705546,84.34,2.8189713954925537
64,0.02085164,86.83,4.0283472537994385
128,0.015228782,88.63,6.153494358062744
256,0.009961908,89.21,9.7258460521698
300,0.008810133,89.41,12.00051474571228
400,0.0068207057,89.73,23.79102110862732
512,0.0052327686,89.92,76.36550903320312
1024,0.0016211902,90.5,126.533362865448
