Model,Input_Type,Input_Dim,Accuracy_%,Training_Time_sec
ResNet,Raw,3072,65.82,6787.455188989639
ResNet,PCA-512,512,28.69,130.99715399742126
ResNet,UMAP-512,512,10.07,126.85360312461852
ResNet,AE-512,512,28.75,129.10768699645996
Transformer,Raw,3072,35.45,8194.754518985748
Transformer,PCA-512,512,30.79,3378.606722831726
Transformer,UMAP-512,512,1.0,3742.493042945862
Transformer,AE-512,512,27.74,3958.415416717529
Autoencoder,Raw,3072,27.68,779.6268229484558
Autoencoder,PCA-512,512,20.22,98.79045414924622
Autoencoder,UMAP-512,512,8.2,100.77074408531188
Autoencoder,AE-512,512,20.57,103.24877214431764
