Latent_Dim,MSE_Loss,Accuracy,Training_Time_sec
2,0.03881982291865227,62.82,446.26984000205994
4,0.03260514223019181,73.81,434.6400399208069
8,0.026738205986559543,80.33,471.8187038898468
16,0.021351349118458644,83.28999999999999,432.8803701400757
32,0.01703041882904442,85.53,446.2224991321564
64,0.013930752370839992,86.98,449.8772032260895
128,0.011688219995507041,88.1,429.84804487228394
256,0.009897114558960014,88.64,400.41246700286865
300,0.009601678079961207,88.88000000000001,366.4433560371399
400,0.009297321764919002,89.25,375.05322098731995
512,0.00908881042133588,88.42999999999999,445.85552287101746
1024,0.009051057710157483,89.22,444.9289002418518
