Latent_Dim,MSE_Loss,Accuracy,Training_Time_sec
2,0.024138281,18.565400843881857,0.06079411506652832
4,0.021648265,15.189873417721518,0.02279210090637207
8,0.01842806,20.253164556962027,0.027066946029663086
16,0.0149468295,16.033755274261605,0.0376276969909668
32,0.011353786,22.362869198312236,0.053862810134887695
64,0.007981182,32.91139240506329,0.07140016555786133
128,0.004976722,39.66244725738397,0.08450675010681152
256,0.0023683081,45.9915611814346,0.15026116371154785
300,0.0018686336,44.72573839662447,0.1842331886291504
400,0.001094613,43.459915611814345,0.24147462844848633
512,0.0005811043,54.0084388185654,0.3186969757080078
