Latent_Dim,MSE_Loss,Accuracy,Training_Time_sec
2,0.041446531005680104,66.4,1822.69855093956
4,0.03466925075482529,74.91,1755.463026046753
8,0.028595980356835648,78.81,1735.2743179798126
16,0.022573385959314872,83.47,1748.3561878204346
32,0.01748974121097104,85.89,1730.4644298553467
64,0.013553475358468644,88.63,1736.091017961502
128,0.010214456214147913,89.34,1694.5044538974762
256,0.007289303046272463,90.35,1800.5939328670502
300,0.006757738984540067,90.36,1742.3980100154877
400,0.005979863096676443,90.29,1765.5207459926605
512,0.005158979939939954,90.63,1857.6756780147552
1024,0.05713575759240429,22.24,2535.632568836212
